idno,complex_id,protein_id
808,BRM-associated complex,O14744
808,BRM-associated complex,O96019
808,BRM-associated complex,P51531
808,BRM-associated complex,Q12824
808,BRM-associated complex,Q8TAQ2
808,BRM-associated complex,Q92922
808,BRM-associated complex,Q92925
808,BRM-associated complex,Q969G3
808,BRM-associated complex,Q96GM5
809,eRF1-eRF3-GTP-Mg(2+) complex,P15170
809,eRF1-eRF3-GTP-Mg(2+) complex,P62495
811,FCP1-associated protein complex,O14744
811,FCP1-associated protein complex,P30876
811,FCP1-associated protein complex,P35269
811,FCP1-associated protein complex,P84090
811,FCP1-associated protein complex,Q15208
811,FCP1-associated protein complex,Q9BQA1
811,FCP1-associated protein complex,Q9Y5B0
812,"Upf complex (UPF1, UPF2, UPF3a)",Q92900
812,"Upf complex (UPF1, UPF2, UPF3a)",Q9H1J1
812,"Upf complex (UPF1, UPF2, UPF3a)",Q9HAU5
813,"Upf complex (UPF1, UPF2, UPF3b)",Q92900
813,"Upf complex (UPF1, UPF2, UPF3b)",Q9BZI7
813,"Upf complex (UPF1, UPF2, UPF3b)",Q9HAU5
814,Postsplicing complex,Q15287
814,Postsplicing complex,Q92900
814,Postsplicing complex,Q9BZI7
814,Postsplicing complex,Q9H1J1
814,Postsplicing complex,Q9HAU5
814,Postsplicing complex,Q9UBU9
814,Postsplicing complex,Q9Y5S9
815,MRIP-MBS-RHOA complex,O14974
815,MRIP-MBS-RHOA complex,P61586
815,MRIP-MBS-RHOA complex,Q6WCQ1
816,MRIP-RHOA complex,P61586
816,MRIP-RHOA complex,Q6WCQ1
817,MRIP-MBS complex,O14974
817,MRIP-MBS complex,Q6WCQ1
819,20S methylosome-SmD complex,O14744
819,20S methylosome-SmD complex,P54105
819,20S methylosome-SmD complex,P62314
819,20S methylosome-SmD complex,P62318
820,"SNARE complex (SNAP23, STX6)",O00161
820,"SNARE complex (SNAP23, STX6)",O43752
822,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",O95453
822,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",Q01780
822,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",Q13868
822,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",Q8IU60
822,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",Q8IZH2
822,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",Q92900
822,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",Q9BZI7
822,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",Q9H0D6
822,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",Q9HAU5
822,"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)",Q9NPD3
824,Anti-SMN protein complex,O14893
824,Anti-SMN protein complex,P14678
824,Anti-SMN protein complex,P57678
824,Anti-SMN protein complex,Q16637
824,Anti-SMN protein complex,Q9UHI6
825,JBP1-pICln complex,O14744
825,JBP1-pICln complex,P14678
825,JBP1-pICln complex,P54105
826,PAR-3-VE-cadherin-beta-catenin complex,P33151
826,PAR-3-VE-cadherin-beta-catenin complex,P35222
826,PAR-3-VE-cadherin-beta-catenin complex,Q8TEW0
828,TRPC1-STIM1-ORAI1 complex,P48995
828,TRPC1-STIM1-ORAI1 complex,Q13586
828,TRPC1-STIM1-ORAI1 complex,Q96D31
829,"PAR-6-VE-cadherin complex, endothelial",P33151
829,"PAR-6-VE-cadherin complex, endothelial",Q9NPB6
831,"PAR-6-PAR-3-VE-cadherin complex, endothelial",P33151
831,"PAR-6-PAR-3-VE-cadherin complex, endothelial",Q8TEW0
831,"PAR-6-PAR-3-VE-cadherin complex, endothelial",Q9NPB6
832,Anti-Sm protein complex,O14744
832,Anti-Sm protein complex,O14893
832,Anti-Sm protein complex,P14678
832,Anti-Sm protein complex,P54105
832,Anti-Sm protein complex,P57678
832,Anti-Sm protein complex,Q16637
832,Anti-Sm protein complex,Q9UHI6
833,6S methyltransferase complex,P54105
833,6S methyltransferase complex,P62314
833,6S methyltransferase complex,P62318
834,20S methylosome and RG-containing Sm protein complex,O14744
834,20S methylosome and RG-containing Sm protein complex,P14678
834,20S methylosome and RG-containing Sm protein complex,P54105
834,20S methylosome and RG-containing Sm protein complex,P62314
834,20S methylosome and RG-containing Sm protein complex,P62316
834,20S methylosome and RG-containing Sm protein complex,P62318
835,6S methyltransferase and RG-containing Sm proteins complex,P14678
835,6S methyltransferase and RG-containing Sm proteins complex,P54105
835,6S methyltransferase and RG-containing Sm proteins complex,P62304
835,6S methyltransferase and RG-containing Sm proteins complex,P62306
835,6S methyltransferase and RG-containing Sm proteins complex,P62308
835,6S methyltransferase and RG-containing Sm proteins complex,P62314
835,6S methyltransferase and RG-containing Sm proteins complex,P62316
835,6S methyltransferase and RG-containing Sm proteins complex,P62318
836,20S methyltransferase core complex,O14744
836,20S methyltransferase core complex,P54105
839,LIN9-BMYB complex,P10244
839,LIN9-BMYB complex,Q5TKA1
845,PCI-PSA-SCG2 complex,P05154
845,PCI-PSA-SCG2 complex,P07288
845,PCI-PSA-SCG2 complex,P13521
846,"RICH1/AMOT polarity complex, Flag-Rich1 precipitated",P47756
846,"RICH1/AMOT polarity complex, Flag-Rich1 precipitated",P52907
846,"RICH1/AMOT polarity complex, Flag-Rich1 precipitated",Q4VCS5
846,"RICH1/AMOT polarity complex, Flag-Rich1 precipitated",Q68EM7
846,"RICH1/AMOT polarity complex, Flag-Rich1 precipitated",Q8N3R9
846,"RICH1/AMOT polarity complex, Flag-Rich1 precipitated",Q8NI35
846,"RICH1/AMOT polarity complex, Flag-Rich1 precipitated",Q96B97
846,"RICH1/AMOT polarity complex, Flag-Rich1 precipitated",Q9Y5K6
847,RICH1-PAR3-aPKC polarity complex,P41743
847,RICH1-PAR3-aPKC polarity complex,Q68EM7
847,RICH1-PAR3-aPKC polarity complex,Q8TEW0
848,"RICH1/AMOT polarity complex, Flag-Amot precipitated",O75970
848,"RICH1/AMOT polarity complex, Flag-Amot precipitated",Q4VCS5
848,"RICH1/AMOT polarity complex, Flag-Amot precipitated",Q5T2T1
848,"RICH1/AMOT polarity complex, Flag-Amot precipitated",Q68EM7
848,"RICH1/AMOT polarity complex, Flag-Amot precipitated",Q8IY63
848,"RICH1/AMOT polarity complex, Flag-Amot precipitated",Q8N3R9
848,"RICH1/AMOT polarity complex, Flag-Amot precipitated",Q8NI35
848,"RICH1/AMOT polarity complex, Flag-Amot precipitated",Q9Y2J4
860,DNMT1-EHMT2-PCNA complex,P12004
860,DNMT1-EHMT2-PCNA complex,P26358
860,DNMT1-EHMT2-PCNA complex,Q96KQ7
862,DNMT1-EHMT2 complex,P26358
862,DNMT1-EHMT2 complex,Q96KQ7
867,TRAP-SMCC mediator complex,A0JLT2
867,TRAP-SMCC mediator complex,Q15528
867,TRAP-SMCC mediator complex,Q15648
867,TRAP-SMCC mediator complex,Q71SY5
867,TRAP-SMCC mediator complex,Q96G25
867,TRAP-SMCC mediator complex,Q9BUE0
867,TRAP-SMCC mediator complex,Q9NPJ6
867,TRAP-SMCC mediator complex,Q9NVC6
867,TRAP-SMCC mediator complex,Q9NX70
867,TRAP-SMCC mediator complex,Q9P086
871,BRAF53-BRCA2 complex,O60341
871,BRAF53-BRCA2 complex,P51587
871,BRAF53-BRCA2 complex,Q13547
871,BRAF53-BRCA2 complex,Q92769
871,BRAF53-BRCA2 complex,Q96BD5
871,BRAF53-BRCA2 complex,Q9P0W2
871,BRAF53-BRCA2 complex,Q9UKL0
873,"SNARE complex (STX1A, SNAP29)",O95721
873,"SNARE complex (STX1A, SNAP29)",Q16623
874,"SNARE complex (STX6, VAMP3, VAMP4, VAMP8)",O43752
874,"SNARE complex (STX6, VAMP3, VAMP4, VAMP8)",O75379
874,"SNARE complex (STX6, VAMP3, VAMP4, VAMP8)",Q15836
874,"SNARE complex (STX6, VAMP3, VAMP4, VAMP8)",Q9BV40
875,"SNARE complex (STX16, VAMP3, VAMP4)",O14662
875,"SNARE complex (STX16, VAMP3, VAMP4)",O75379
875,"SNARE complex (STX16, VAMP3, VAMP4)",Q15836
876,"SNARE complex (STX6, VAMP3, VTI1A)",O43752
876,"SNARE complex (STX6, VAMP3, VTI1A)",Q15836
876,"SNARE complex (STX6, VAMP3, VTI1A)",Q96AJ9
877,"SNARE complex (STX6, STX16, VAMP4, VTI1a, VTI1b)",O14662
877,"SNARE complex (STX6, STX16, VAMP4, VTI1a, VTI1b)",O43752
877,"SNARE complex (STX6, STX16, VAMP4, VTI1a, VTI1b)",O75379
877,"SNARE complex (STX6, STX16, VAMP4, VTI1a, VTI1b)",Q96AJ9
877,"SNARE complex (STX6, STX16, VAMP4, VTI1a, VTI1b)",Q9UEU0
878,PKA (RII-alpha and RII-beta)-AKAP5-ADRB1 complex,P08588
878,PKA (RII-alpha and RII-beta)-AKAP5-ADRB1 complex,P13861
878,PKA (RII-alpha and RII-beta)-AKAP5-ADRB1 complex,P24588
878,PKA (RII-alpha and RII-beta)-AKAP5-ADRB1 complex,P31323
886,MTA1 complex,O95983
886,MTA1 complex,Q09028
886,MTA1 complex,Q13330
886,MTA1 complex,Q13547
886,MTA1 complex,Q16576
886,MTA1 complex,Q92769
888,MTA2 complex,O94776
888,MTA2 complex,O95983
888,MTA2 complex,Q09028
888,MTA2 complex,Q13547
888,MTA2 complex,Q14839
888,MTA2 complex,Q16576
888,MTA2 complex,Q92769
888,MTA2 complex,Q96ST3
889,MTA1-HDAC core complex,Q09028
889,MTA1-HDAC core complex,Q13330
889,MTA1-HDAC core complex,Q13547
889,MTA1-HDAC core complex,Q16576
889,MTA1-HDAC core complex,Q92769
895,"hMediator complex (MED23, CDK8, CCNC, MED7)",O43513
895,"hMediator complex (MED23, CDK8, CCNC, MED7)",P24863
895,"hMediator complex (MED23, CDK8, CCNC, MED7)",P49336
895,"hMediator complex (MED23, CDK8, CCNC, MED7)",Q9ULK4
896,"hMediator complex (MED23, CDK8, CCNC)",P24863
896,"hMediator complex (MED23, CDK8, CCNC)",P49336
896,"hMediator complex (MED23, CDK8, CCNC)",Q9ULK4
897,CDK8-CyclinC-Mediator complex,P24863
897,CDK8-CyclinC-Mediator complex,P49336
898,Mediator complex 1,O60244
898,Mediator complex 1,O75586
898,Mediator complex 1,P24863
898,Mediator complex 1,P49336
898,Mediator complex 1,Q9ULK4
900,Mediator complex 2,O60244
900,Mediator complex 2,O75586
900,Mediator complex 2,Q9ULK4
903,RET-Rai complex,P07949
903,RET-Rai complex,Q92529
904,SHC3-GAB1 complex,Q13480
904,SHC3-GAB1 complex,Q92529
905,KIF3A/B-PAR-3-aPKC-PAR-6 complex,O15066
905,KIF3A/B-PAR-3-aPKC-PAR-6 complex,P41743
905,KIF3A/B-PAR-3-aPKC-PAR-6 complex,Q8TEW0
905,KIF3A/B-PAR-3-aPKC-PAR-6 complex,Q9NPB6
905,KIF3A/B-PAR-3-aPKC-PAR-6 complex,Q9Y496
909,ARC92-Mediator complex,O43513
909,ARC92-Mediator complex,O60244
909,ARC92-Mediator complex,O75586
909,ARC92-Mediator complex,O95402
909,ARC92-Mediator complex,P49336
909,ARC92-Mediator complex,Q15648
909,ARC92-Mediator complex,Q71SY5
909,ARC92-Mediator complex,Q93074
909,ARC92-Mediator complex,Q96RN5
909,ARC92-Mediator complex,Q9NVC6
909,ARC92-Mediator complex,Q9UHV7
909,ARC92-Mediator complex,Q9ULK4
909,ARC92-Mediator complex,Q9Y2X0
910,CRSP-Mediator 2 complex,O43513
910,CRSP-Mediator 2 complex,O60244
910,CRSP-Mediator 2 complex,O75448
910,CRSP-Mediator 2 complex,O75586
910,CRSP-Mediator 2 complex,Q96RN5
910,CRSP-Mediator 2 complex,Q9BUE0
910,CRSP-Mediator 2 complex,Q9NPJ6
910,CRSP-Mediator 2 complex,Q9NVC6
910,CRSP-Mediator 2 complex,Q9ULK4
910,CRSP-Mediator 2 complex,Q9Y2X0
912,FGFR1-KAL11 complex,P11362
912,FGFR1-KAL11 complex,P23352
915,"SNARE complex (SNAP23, STX1A)",O00161
915,"SNARE complex (SNAP23, STX1A)",Q16623
917,CERF complex (CECR2-containing remodeling factor complex),P28370
917,CERF complex (CECR2-containing remodeling factor complex),Q9BXF3
918,PAR3-PAR6-PALS1 complex,Q8N3R9
918,PAR3-PAR6-PALS1 complex,Q8TEW0
918,PAR3-PAR6-PALS1 complex,Q9NPB6
921,Remodeling and spacing factor (RSF) complex,O60264
921,Remodeling and spacing factor (RSF) complex,Q96T23
923,SNF2L-RSF1 complex,P28370
923,SNF2L-RSF1 complex,Q96T23
924,Toposome,P07910
924,Toposome,P11388
924,Toposome,Q08211
924,Toposome,Q08945
924,Toposome,Q6P2Q9
924,Toposome,Q96SB4
924,Toposome,Q9NR30
925,SNF2H-BAZ1A complex,O60264
925,SNF2H-BAZ1A complex,Q9NRL2
926,SCRIB-LGL2 complex,Q14160
926,SCRIB-LGL2 complex,Q6P1M3
927,CENP-A NAC complex,P07199
927,CENP-A NAC complex,Q03188
927,CENP-A NAC complex,Q71F23
927,CENP-A NAC complex,Q96BT3
927,CENP-A NAC complex,Q96H22
927,CENP-A NAC complex,Q9H3R5
927,CENP-A NAC complex,Q9NSP4
928,SCRIB-VANGL2 complex,Q14160
928,SCRIB-VANGL2 complex,Q9ULK5
929,CEN complex,O60264
929,CEN complex,P07199
929,CEN complex,P11021
929,CEN complex,P11142
929,CEN complex,P22087
929,CEN complex,P35226
929,CEN complex,P49450
929,CEN complex,Q02241
929,CEN complex,Q03188
929,CEN complex,Q06587
929,CEN complex,Q08945
929,CEN complex,Q13185
929,CEN complex,Q13619
929,CEN complex,Q15007
929,CEN complex,Q16531
929,CEN complex,Q53SF7
929,CEN complex,Q5T200
929,CEN complex,Q69YN4
929,CEN complex,Q6T4P5
929,CEN complex,Q71F23
929,CEN complex,Q8N0S6
929,CEN complex,Q8N1F7
929,CEN complex,Q8NEM2
929,CEN complex,Q92620
929,CEN complex,Q92674
929,CEN complex,Q96JP5
929,CEN complex,Q96T23
929,CEN complex,Q99496
929,CEN complex,Q9BS16
929,CEN complex,Q9BU64
929,CEN complex,Q9BXP5
929,CEN complex,Q9BZH6
929,CEN complex,Q9H0H5
929,CEN complex,Q9H3R5
929,CEN complex,Q9HC52
929,CEN complex,Q9NSP4
929,CEN complex,Q9Y5B9
930,SCRIB-GIT1-ARHGEF7 complex,Q14155
930,SCRIB-GIT1-ARHGEF7 complex,Q14160
930,SCRIB-GIT1-ARHGEF7 complex,Q9Y2X7
933,SCRIB-APC complex,P25054
933,SCRIB-APC complex,Q14160
934,FACT-NEK9 complex,Q08945
934,FACT-NEK9 complex,Q8TD19
934,FACT-NEK9 complex,Q9Y5B9
936,FACT complex,Q08945
936,FACT complex,Q9Y5B9
938,"FACT complex, UV-activated",P19784
938,"FACT complex, UV-activated",P67870
938,"FACT complex, UV-activated",P68400
938,"FACT complex, UV-activated",Q08945
938,"FACT complex, UV-activated",Q9Y5B9
943,"Class C VPS complex (STX7, VPS11, VPS18)",O15400
943,"Class C VPS complex (STX7, VPS11, VPS18)",Q9H270
943,"Class C VPS complex (STX7, VPS11, VPS18)",Q9P253
944,"Class C VPS complex (VPS11, VPS16, VPS18)",Q9H269
944,"Class C VPS complex (VPS11, VPS16, VPS18)",Q9H270
944,"Class C VPS complex (VPS11, VPS16, VPS18)",Q9P253
947,CDC7-DBF7 complex,O00311
947,CDC7-DBF7 complex,Q9UBU7
955,LLGL2-PAR-6B-PRKCI complex,P41743
955,LLGL2-PAR-6B-PRKCI complex,Q6P1M3
955,LLGL2-PAR-6B-PRKCI complex,Q9BYG5
956,PAR-3-PAR-6B-PRKCI complex,P41743
956,PAR-3-PAR-6B-PRKCI complex,Q8TEW0
956,PAR-3-PAR-6B-PRKCI complex,Q9BYG5
959,LLGL1-PAR-6B-PRKCI complex,P41743
959,LLGL1-PAR-6B-PRKCI complex,Q15334
959,LLGL1-PAR-6B-PRKCI complex,Q9BYG5
964,BRCA1-RAD50-MRE11-NBS1 complex,O60934
964,BRCA1-RAD50-MRE11-NBS1 complex,P38398
964,BRCA1-RAD50-MRE11-NBS1 complex,P49959
964,BRCA1-RAD50-MRE11-NBS1 complex,Q92878
974,EED-EZH2 complex,O75530
974,EED-EZH2 complex,Q09028
974,EED-EZH2 complex,Q15022
974,EED-EZH2 complex,Q15910
974,EED-EZH2 complex,Q6ZN18
994,GAA1-GPI8-PIGT-PIG-PIGS complex,O43292
994,GAA1-GPI8-PIGT-PIG-PIGS complex,Q92643
994,GAA1-GPI8-PIGT-PIG-PIGS complex,Q969N2
994,GAA1-GPI8-PIGT-PIG-PIGS complex,Q96S52
994,GAA1-GPI8-PIGT-PIG-PIGS complex,Q9H490
996,Polycomb repressive complex 2/3,O75530
996,Polycomb repressive complex 2/3,Q09028
996,Polycomb repressive complex 2/3,Q15022
996,Polycomb repressive complex 2/3,Q15910
996,Polycomb repressive complex 2/3,Q16576
997,KIN17-PCNA-RPA70 complex,O60870
997,KIN17-PCNA-RPA70 complex,P12004
997,KIN17-PCNA-RPA70 complex,P27694
999,p23 protein complex,O75340
999,p23 protein complex,P22626
999,p23 protein complex,Q15185
1000,TorsinA-TorsinB complex,O14656
1000,TorsinA-TorsinB complex,O14657
1003,RC complex (Replication competent complex),P09884
1003,RC complex (Replication competent complex),P20248
1003,RC complex (Replication competent complex),P24941
1003,RC complex (Replication competent complex),P35249
1003,RC complex (Replication competent complex),P35250
1003,RC complex (Replication competent complex),P35251
1003,RC complex (Replication competent complex),P40937
1003,RC complex (Replication competent complex),P40938
1003,RC complex (Replication competent complex),Q14181
1004,"RC complex, S-phase-specific",P09874
1004,"RC complex, S-phase-specific",P09884
1004,"RC complex, S-phase-specific",P11387
1004,"RC complex, S-phase-specific",P15927
1004,"RC complex, S-phase-specific",P18858
1004,"RC complex, S-phase-specific",P20248
1004,"RC complex, S-phase-specific",P24941
1004,"RC complex, S-phase-specific",P27694
1004,"RC complex, S-phase-specific",P28340
1004,"RC complex, S-phase-specific",P35244
1004,"RC complex, S-phase-specific",P35250
1004,"RC complex, S-phase-specific",P35251
1004,"RC complex, S-phase-specific",Q07864
1005,RC complex during G2/M-phase of cell cycle,P06493
1005,RC complex during G2/M-phase of cell cycle,P09874
1005,RC complex during G2/M-phase of cell cycle,P09884
1005,RC complex during G2/M-phase of cell cycle,P11387
1005,RC complex during G2/M-phase of cell cycle,P14635
1005,RC complex during G2/M-phase of cell cycle,P15927
1005,RC complex during G2/M-phase of cell cycle,P20248
1005,RC complex during G2/M-phase of cell cycle,P27694
1005,RC complex during G2/M-phase of cell cycle,P28340
1005,RC complex during G2/M-phase of cell cycle,P35244
1005,RC complex during G2/M-phase of cell cycle,P35250
1005,RC complex during G2/M-phase of cell cycle,P35251
1005,RC complex during G2/M-phase of cell cycle,Q07864
1007,CAK core complex (Cdk-activating kinase core complex),P50613
1007,CAK core complex (Cdk-activating kinase core complex),P51946
1010,CAK complex (Cdk-activating kinase complex),P50613
1010,CAK complex (Cdk-activating kinase complex),P51946
1010,CAK complex (Cdk-activating kinase complex),P51948
1028,HNF4A-SUB1 complex,P41235
1028,HNF4A-SUB1 complex,P53999
1029,TFIIH transcription factor complex,P18074
1029,TFIIH transcription factor complex,P19447
1029,TFIIH transcription factor complex,P32780
1029,TFIIH transcription factor complex,P50613
1029,TFIIH transcription factor complex,P51946
1029,TFIIH transcription factor complex,P51948
1029,TFIIH transcription factor complex,Q13888
1029,TFIIH transcription factor complex,Q13889
1029,TFIIH transcription factor complex,Q6ZYL4
1029,TFIIH transcription factor complex,Q92759
1030,CAK-ERCC2 complex,P18074
1030,CAK-ERCC2 complex,P50613
1030,CAK-ERCC2 complex,P51946
1030,CAK-ERCC2 complex,P51948
1031,ORC complex (origin recognition complex),O43913
1031,ORC complex (origin recognition complex),O43929
1031,ORC complex (origin recognition complex),Q13415
1031,ORC complex (origin recognition complex),Q13416
1031,ORC complex (origin recognition complex),Q9UBD5
1031,ORC complex (origin recognition complex),Q9Y5N6
1032,ORC 2-4 complex (origin recognition 2-4 complex),O43929
1032,ORC 2-4 complex (origin recognition 2-4 complex),Q13416
1032,ORC 2-4 complex (origin recognition 2-4 complex),Q9UBD5
1034,ORC 2-5 complex (origin recognition 2-5 complex),O43913
1034,ORC 2-5 complex (origin recognition 2-5 complex),O43929
1034,ORC 2-5 complex (origin recognition 2-5 complex),Q13416
1034,ORC 2-5 complex (origin recognition 2-5 complex),Q9UBD5
1037,TFIIH transcription factor core complex,P19447
1037,TFIIH transcription factor core complex,P32780
1037,TFIIH transcription factor core complex,Q13888
1037,TFIIH transcription factor core complex,Q13889
1037,TFIIH transcription factor core complex,Q92759
1038,ORC 1-5 complex (origin recognition 1-5 complex),O43913
1038,ORC 1-5 complex (origin recognition 1-5 complex),O43929
1038,ORC 1-5 complex (origin recognition 1-5 complex),Q13415
1038,ORC 1-5 complex (origin recognition 1-5 complex),Q13416
1038,ORC 1-5 complex (origin recognition 1-5 complex),Q9UBD5
1039,PCNA-PAF complex,P12004
1039,PCNA-PAF complex,Q15004
1040,p33ING1b-PCNA complex,Q15004
1040,p33ING1b-PCNA complex,Q9UK53
1041,Alpha-dystrobrevin-ZO-1-actin complex,P60709
1041,Alpha-dystrobrevin-ZO-1-actin complex,Q07157
1041,Alpha-dystrobrevin-ZO-1-actin complex,Q9Y4J8
1042,SRA-SRC-1 ribonucleoprotein complex,Q15788
1042,SRA-SRC-1 ribonucleoprotein complex,Q9HD15
1045,RAN-SNUPN-XPO1 complex,O14980
1045,RAN-SNUPN-XPO1 complex,O95149
1045,RAN-SNUPN-XPO1 complex,P62826
1051,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)",P62877
1051,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)",P63208
1051,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)",Q13309
1051,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)",Q13616
1052,"Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)",P62877
1052,"Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)",P63208
1052,"Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)",Q13616
1052,"Ubiquitin E3 ligase (FBXW11, SKP1A, CUL1, RBX1)",Q9UKB1
1054,ESR1-RELA-BCL3-NCOA3 complex,P03372
1054,ESR1-RELA-BCL3-NCOA3 complex,P20749
1054,ESR1-RELA-BCL3-NCOA3 complex,Q04206
1054,ESR1-RELA-BCL3-NCOA3 complex,Q9Y6Q9
1055,ZNF198-PML complex,P29590
1055,ZNF198-PML complex,Q9UBW7
1056,ZNF198-SUMO1 complex,P63165
1056,ZNF198-SUMO1 complex,Q9UBW7
1057,DIPA-MCRS1 complex,Q15834
1057,DIPA-MCRS1 complex,Q96EZ8
1058,"SNX complex (SNX1, SNX6)",Q13596
1058,"SNX complex (SNX1, SNX6)",Q9UNH7
1060,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)",O60749
1060,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)",Q13596
1060,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)",Q4G0F5
1060,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)",Q96QK1
1060,"Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)",Q9UBQ0
1062,BAR-BCL2-CASP8 complex,P10415
1062,BAR-BCL2-CASP8 complex,Q14790
1062,BAR-BCL2-CASP8 complex,Q9NZS9
1063,GRASP-GRP1 complex,O43739
1063,GRASP-GRP1 complex,Q7Z6J2
1064,IFP35-NMI complex,P80217
1064,IFP35-NMI complex,Q13287
1067,CD8A-LCK complex,P01732
1067,CD8A-LCK complex,P06239
1068,12S U11 snRNP,P14678
1068,12S U11 snRNP,P62304
1068,12S U11 snRNP,P62306
1068,12S U11 snRNP,P62308
1068,12S U11 snRNP,P62314
1068,12S U11 snRNP,P62316
1068,12S U11 snRNP,P62318
1068,12S U11 snRNP,P67809
1068,12S U11 snRNP,Q16560
1068,12S U11 snRNP,Q16629
1068,12S U11 snRNP,Q6IEG0
1068,12S U11 snRNP,Q8N8D1
1068,12S U11 snRNP,Q96GM8
1068,12S U11 snRNP,Q9BV90
1068,12S U11 snRNP,Q9H875
1069,FIF-FGR2 complex,P09038
1069,FIF-FGR2 complex,Q9BZZ5
1070,SNX1-SNX2 complex,O60749-1
1070,SNX1-SNX2 complex,Q13596-1
1071,PKD2-FPC complex,P08F94
1071,PKD2-FPC complex,Q13563
1072,SNX2 homo-oligomer complex,O60749-1
1079,P-TEFb.1 complex,O60563
1079,P-TEFb.1 complex,P50750
1080,P-TEFb.2 complex,O60583
1080,P-TEFb.2 complex,P50750
1083,P-TEFb.4 complex,O75909
1083,P-TEFb.4 complex,P50750
1085,DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1,O00764
1085,DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1,P06746
1085,DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1,P18887
1085,DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1,P49916
1085,DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1,Q969S2
1086,DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1,O00764
1086,DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1,P06746
1086,DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1,P18887
1086,DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1,P49916
1086,DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1,Q96FI4
1087,BIRC5-AURKB-INCENP-EVI5 complex,O15392
1087,BIRC5-AURKB-INCENP-EVI5 complex,O60447
1087,BIRC5-AURKB-INCENP-EVI5 complex,Q96GD4
1087,BIRC5-AURKB-INCENP-EVI5 complex,Q9NQS7
1088,PRNP-ApolopoproteinE3 complex,P04156
1088,PRNP-ApolopoproteinE3 complex,Q13791
1089,VAM1-VELI1 complex,O14910
1089,VAM1-VELI1 complex,Q9NZW5
1090,AP1G1-RABEP1 complex,O43747
1090,AP1G1-RABEP1 complex,Q15276
1091,LEPR-SNX1 complex,P48357-1
1091,LEPR-SNX1 complex,Q13596-1
1092,PCNA-KU antigen complex,P12004
1092,PCNA-KU antigen complex,P12956
1092,PCNA-KU antigen complex,P13010
1093,INSR-SNX1 complex,P06213
1093,INSR-SNX1 complex,Q13596-1
1094,Frataxin complex,O75964
1094,Frataxin complex,P10809
1094,Frataxin complex,P31040
1094,Frataxin complex,P38646
1094,Frataxin complex,Q16595
1094,Frataxin complex,Q9HD34
1094,Frataxin complex,Q9Y4W6
1095,EGFR-SNX1 complex,P00533
1095,EGFR-SNX1 complex,Q13596-1
1096,PDGFRB-SNX1 complex,P09619
1096,PDGFRB-SNX1 complex,Q13596-1
